id,date,brand,region,content
13491,2025-09-08 09:23:28,Mobilis,Tlemcen,Streaming 144p only in Tlemcen 😭 http://bit.ly/gmwoxj
21882,2025-05-06 02:46:29,Mobilis,Algiers,Customer support didn't answer my call. #support
9291,2025-06-01 01:57:28,Mobilis,Biskra,App says update required but Play Store shows none https://t.co/xyz  
9810,2024-11-11 12:32:28,Ooredoo,El Bayadh,internet so slooooow 😭 #Djezzy
3641,2025-06-13 04:07:28,Wana,Seteef,Lost connection mid-call with mom 😠 #sad
10580,2025-07-06 14:38:28,Ooredoo,Khenchela,"recharge failed, money gone!! contact@Ooredoo.com"
8817,2025-07-28 20:03:28,TelecomDZ,Tizi Ouzou,"APP FREEZE, RE-OPENED 10 TIMES HTTP://EXAMPLE.COM/ISSUE/7739 😑"
13857,2025-09-15 10:39:28,TelecomDZ,Khenchela,يوجد تقطع في المكالمات في Khenchela
18260,2024-10-26 07:41:29,Mobilis,,  internet so slooooow 😭 #Djezzy
19545,2025-03-24 16:33:29,TelecomDZ,Boumerdes,"recharge failed, money gone!! contact@TelecomDZ.com"
22673,2024-12-12 16:20:29,Mobilis,Saida,SIGNAL LOST WHEN ENTERING BUILDING NEAR SAIDA
9800,2024-10-21 10:30:28,Wana,Blida,La couverture est top ici dans Blida 👍 contact@wana.com
5140,2025-03-04 20:28:28,TelecomDZ,Khenchela,why am i charged for sms I never sent?? https://t.co/xyz
11149,2025-06-07 02:57:28,Mobilis,Ghardaia,"App freeze, re-opened 10 times https://support.example.org/ticket/41193 😑"
8872,2024-10-31 01:03:28,TelecomDZ,Biskraa,مشكلة في الشبكة في Biskraa 😠
9431,2025-02-23 03:45:28,Djezzy,Oum El Bouaghi,Can't make calls since yesterday https://support.example.org/ticket/64671 #help
4361,2025-02-02 07:55:28,TelecomDZ,Guelma,internet so slooooow 😭 #Djezzy
21696,2025-08-20 04:49:29,Djezzy,Biskraa,Can't make calls since yesterday https://t.co/xyz #help
8647,2025-07-04 16:27:28,Djezzy,Bordj Bou Arreridj,"App freeze, re-opened 10 times https://support.example.org/ticket/34268 😑"
21234,2025-08-20 20:14:29,Wana,Biskra,Promo applied but billing still wrong https://support.example.org/ticket/92654
12923,2025-01-29 23:04:28,Djezzy,Tipaza..,Can't make calls since yesterday https://t.co/xyz #help
22465,2025-04-03 17:29:29,Ooredoo,Ain Temouchent,"they restored service after outage, thanks Ooredoo"
20852,2025-07-04 04:40:29,Ooredoo,Oum El Bouaghi,No signal in Oum El Bouaghi. anyone else?? 😢
11551,2025-01-22 13:41:28,TelecomDZ,Batna,مافهمتش علاش الباكيج خلصت؟ https://t.co/xyz
9242,2024-12-22 05:48:28,TelecomDZ,Batnaa,Coverage in Batnaa is terrible... https://t.co/xyz
4755,2025-08-15 22:28:28,Mobilis,Ouargla,Why so many ads? app is unusable http://example.com/issue/9799 😩
10312,2025-01-15 05:13:28,Mobilis,Ghardaya,no service since morning Mobilis?? http://example.com/issue/8950
4949,2024-12-22 05:06:28,TelecomDZ,Annaba,Happy with TelecomDZ overall 👍
2001,2025-03-20 13:14:28,Mobilis,Tipaza..,Why is 4G not working?? http://bit.ly/88xpuj
5577,2025-04-14 23:01:28,Wana,Setif,Test speed: 0.2 Mbps in Setif https://t.co/xyz
17828,2025-10-08 12:30:29,Djezzy,Blidah,مشكلة في الشبكة في Blidah 😠
5146,2025-05-19 04:01:28,Ooredoo,Batnaa,internet so slooooow 😭 #Djezzy
20246,2025-04-20 17:46:29,TelecomDZ,Biskraa,"  Bonjour, réseau très lent aujourd'hui http://bit.ly/9b4k7x"
14810,2025-03-20 21:49:28,Mobilis,Algiers,Data speed fine but latency high in Algiers
15786,2025-08-20 10:07:28,Mobilis,Ain Temouchent,"RECHARGE FAILED, MONEY GONE!! CONTACT@MOBILIS.COM"
10833,2024-11-30 17:44:28,Wana,Biskra,🔥🔥🔥 best promo ever!!!
4914,2025-09-17 17:24:28,TelecomDZ,Skikdaa,Promos are good but network bad 😅 😢
482,2025-05-14 23:28:28,Wana,Relizane,My SIM not activated after 24h http://bit.ly/dvf1zl
12878,2025-09-07 11:17:28,TelecomDZ,Sidi Bel Abbes ,why does tethering fail? http://bit.ly/5hlzsb
22579,2025-05-15 05:24:29,Mobilis,Annaba,"The team fixed it fast, impressed!"
14663,2025-10-07 18:22:28,Ooredoo,Seteef,  Customer support didn't answer my call. #support 😢
22141,2025-04-17 20:41:29,Wana,Soukahras,NO SIGNAL IN SOUKAHRAS. ANYONE ELSE??
3258,2025-05-31 03:57:28,TelecomDZ,Setif,The new plan is expensive for students
17506,2025-08-08 16:11:29,Mobilis,Sidi Bel Abbes,Happy with Mobilis overall 👍
21637,2025-01-23 16:44:29,Wana,Mascara,Promo applied but billing still wrong http://example.com/issue/396
12758,2025-05-09 06:18:28,Wana,Soukahras,Customer support didn't answer my call. #support
13932,2025-08-22 00:00:28,Mobilis,Khenchella,Excellent service by Mobilis! ❤️
4469,2025-03-24 03:51:28,Wana,Relizane,VoLTE not working in Relizane since 2 days
5001,2025-04-03 01:38:28,TelecomDZ,Mila,App login fails with error code 403 http://example.com/issue/8542 😤
20126,2025-01-06 01:58:29,Wana,Tebessa,Coverage in Tebessa is terrible... https://t.co/xyz
3,2024-11-25 19:51:28,Wana,Mila,DATA SPEED FINE BUT LATENCY HIGH IN MILA
2540,2025-08-28 18:17:28,TelecomDZ,Saida,La connexion est lente à Saida http://bit.ly/48alko 😢
3915,2025-08-26 09:42:28,Wana,Algierrs,App login fails with error code 403 https://t.co/xyz
14969,2025-09-29 02:02:28,Wana,Seteef,Test speed: 0.2 Mbps in Seteef http://example.com/issue/4230
3017,2025-07-21 08:06:28,Mobilis,Sidi Bel Abbes,Happy with Mobilis overall 👍
7830,2025-06-01 09:49:28,TelecomDZ,El-Oued,5G when?? http://bit.ly/j9tbj9
18120,2024-11-10 02:35:29,TelecomDZ,Constntine,"Service restored after 3 hours, thx TelecomDZ"
8248,2024-12-16 20:36:28,Mobilis,Relizane,La couverture est top ici dans Relizane 👍
12269,2025-06-25 08:55:28,Wana,Mostaganem,"  App freeze, re-opened 10 times http://example.com/issue/3992 😑"
21287,2025-04-20 16:58:29,Djezzy,Tlemcen,why does tethering fail? https://support.example.org/ticket/88714
14859,2025-08-02 15:39:28,TelecomDZ,,Signal lost when entering building near Constantine
20015,2025-04-15 05:45:29,Mobilis,Constntine,"they restored service after outage, thanks Mobilis"
19172,2024-11-11 14:40:29,TelecomDZ,Seteef,internet so slooooow 😭 #Djezzy
17363,2025-05-22 04:27:29,TelecomDZ,Illizi,why tf my data is gone? http://bit.ly/sashb0
22663,2025-04-06 05:38:29,TelecomDZ,Blida,The app keeps crashing 😩 please fix @support
18061,2025-01-29 02:28:29,Djezzy,Tindouf,Network is so slow today in Tindouf 😡 http://bit.ly/dfd5oo
21323,2025-08-16 23:24:29,Mobilis,Tlemcen,🔥🔥🔥 best promo ever!!!
13792,2024-11-12 05:57:28,Ooredoo,Sidi Bel Abbes ,why tf my data is gone? https://support.example.org/ticket/47839
11164,2024-11-24 12:12:28,TelecomDZ,Boumerdes,Happy with TelecomDZ overall 👍 😢
19155,2025-04-10 19:03:29,Djezzy,,Test speed: 0.2 Mbps in Algiers https://support.example.org/ticket/59478
6686,2025-04-26 13:24:28,Mobilis,Khenchella,  App asks for permission every open 😒
18764,2025-02-24 22:19:29,Wana,,Why is 4G not working?? https://support.example.org/ticket/44908
21740,2024-10-23 20:35:29,Mobilis,Tindouf,HAPPY WITH MOBILIS OVERALL 👍
7116,2025-09-24 23:31:28,Ooredoo,Blida,LA CONNEXION EST LENTE À BLIDA HTTPS://SUPPORT.EXAMPLE.ORG/TICKET/91507
15011,2025-03-15 20:09:28,Mobilis,Ghardaia,<HTML>ERROR 500</HTML> APP CRASH
322,2025-06-05 04:42:28,Ooredoo,Souk Ahras,Bills are wrong again!! charged twice http://bit.ly/i4rpqa
4798,2025-03-03 12:41:28,Mobilis,Biskraa,مافهمتش علاش الباكيج خلصت؟ http://example.com/issue/9819
4014,2025-03-04 11:28:28,Ooredoo,Oran,  internet drop every 5 minutes in Oran!!!
12652,2025-07-14 18:23:28,Mobilis,Sidi Bel Abbes,<html>Error 500</html> app crash
3096,2024-11-19 01:29:28,TelecomDZ,Constntine,Excellent service by TelecomDZ! ❤️
6186,2025-08-10 21:40:28,Wana,Bejaiaa,"App freeze, re-opened 10 times http://bit.ly/bugczl 😑"
20713,2025-10-17 09:30:29,Wana,Saida,Promo applied but billing still wrong http://bit.ly/62t0ha  
8305,2025-09-10 03:20:28,Wana,Bejaia,مافهمتش علاش الباكيج خلصت؟ http://bit.ly/h932c8
20694,2025-08-06 09:13:29,Ooredoo,Soukahras,internet so slooooow 😭 #Djezzy
10489,2025-05-24 07:51:28,TelecomDZ,Laghowat,internet so slooooow 😭 #Djezzy
16736,2024-11-30 10:06:29,Wana,Algierrs,THE  NEW  PLAN  IS  EXPENSIVE  FOR  STUDENTS
7273,2024-12-11 14:17:28,Wana,Tlemceen,🔥🔥🔥 best promo ever!!!
885,2024-11-28 09:22:28,Wana,Boumerdes!,Can't make calls since yesterday https://t.co/xyz #help
2492,2024-11-09 21:43:28,Mobilis,Laghowat,Happy with Mobilis overall 👍
20011,2025-05-25 05:15:29,Mobilis,Tebessa,"Bonjour, réseau très lent aujourd'hui https://support.example.org/ticket/99117"
20445,2025-02-24 01:45:29,Djezzy,Blidah,  why does tethering fail? http://bit.ly/ilmp8q
21515,2024-10-18 22:22:29,Wana,Illizi,Promo applied but billing still wrong https://support.example.org/ticket/91861
14070,2025-07-08 13:45:28,Ooredoo,El-Oued,Ils ont coupé mon forfait sans prévenir 😡
3065,2025-04-28 19:04:28,TelecomDZ,Sidi Bel Abbes ,يوجد تقطع في المكالمات في Sidi Bel Abbes 
14397,2025-09-05 11:31:28,Mobilis,Ghardaya,Customer support didn't answer my call. #support
12449,2024-12-06 03:48:28,Djezzy,Sidi Bel Abbes ,"  support was helpful today, thanks Djezzy"
6965,2025-06-19 00:48:28,TelecomDZ,Khenchella,"The team fixed it fast, impressed!"
19725,2025-08-22 01:18:29,Mobilis,Seteef,Happy with Mobilis overall 👍
22494,2025-08-31 14:35:29,Djezzy,Orann,5G when?? https://t.co/xyz
5559,2025-07-30 00:07:28,Wana,El Oued,Lost connection mid-call with mom 😠 #sad
15225,2025-08-02 13:12:28,Ooredoo,Ghardaia,"  support was helpful today, thanks Ooredoo"
3250,2024-12-10 17:58:28,Wana,Blida,Loving the new offers 💯💯 visit https://support.example.org/ticket/54291
1018,2025-06-09 13:17:28,Djezzy,Biskra,Happy with Djezzy overall 👍
9500,2025-02-26 01:23:28,Wana,Skikda,"support was helpful today, thanks Wana"
21745,2025-05-16 01:19:29,Mobilis,Bejaiaa,"they restored service after outage, thanks Mobilis"
14954,2024-11-18 04:34:28,Mobilis,Batna,Loving the new offers 💯💯 visit http://bit.ly/g2c6yk
17547,2025-03-10 07:27:29,Ooredoo,Oum El Bouaghi,"The team fixed it fast, impressed!"
4283,2025-04-21 17:23:28,Djezzy,Jijel,RANDOM SPAM MESSAGE HTTP://SPAM.EXAMPLE.COM
11520,2025-07-09 21:52:28,TelecomDZ,Tebessa,تعريض الشبكة سيء في Tebessa ☹️
18675,2024-11-25 15:41:29,Mobilis,Oum El Bouaghi,no service since morning Mobilis?? https://support.example.org/ticket/67759
11562,2025-05-27 12:05:28,Ooredoo,,🔥🔥🔥 best promo ever!!!
9730,2025-09-24 06:14:28,Djezzy,,مشكلة في الشبكة في Saida 😠
10982,2025-05-29 01:41:28,TelecomDZ,Tlemceen,Ils ont coupé mon forfait sans prévenir 😡
1384,2025-08-29 15:02:28,TelecomDZ,Boumerdes,My SIM not activated after 24h http://example.com/issue/2874
12789,2024-12-30 08:24:28,Mobilis,Mostaganem,"support was helpful today, thanks Mobilis"
301,2024-11-15 20:13:28,Djezzy,Relizane,  CAN'T MAKE CALLS SINCE YESTERDAY HTTP://BIT.LY/392QJZ #HELP 👍
11871,2025-04-07 06:30:28,TelecomDZ,Jijl,مشكلة في الشبكة في Jijl 😠
7499,2025-09-15 19:44:28,Djezzy,Batna,5G when?? https://support.example.org/ticket/64530
8424,2025-09-04 07:35:28,Ooredoo,Ghardaia,"App freeze, re-opened 10 times https://support.example.org/ticket/18823 😑"
17457,2024-12-03 23:53:29,Mobilis,Seteef,Promos are good but network bad 😅
10744,2025-09-17 12:10:28,TelecomDZ,Relizane,Excellent service by TelecomDZ! ❤️
5638,2025-02-04 19:52:28,TelecomDZ,Biskraa,PROMOS ARE GOOD BUT NETWORK BAD 😅
17259,2025-10-08 17:43:29,Djezzy,Setif,Djezzy please fix the network! #outage
12957,2024-12-07 16:12:28,Wana,Relizane,¿Por qué el internet está lento? https://support.example.org/ticket/50629
22577,2025-06-14 01:10:29,TelecomDZ,Algiers,  No signal in Algiers. anyone else??
13500,2025-09-23 16:31:28,TelecomDZ,Biskraa,مشكلة في الشبكة في Biskraa 😠
12762,2025-08-18 19:03:28,Djezzy,M'Sila,App login fails with error code 403 https://support.example.org/ticket/59030
8850,2024-12-04 19:10:28,TelecomDZ,Constntine,🔥🔥🔥 best promo ever!!!
14095,2025-10-02 05:10:28,Mobilis,Tizi Ouzou,Test speed: 0.2 Mbps in Tizi Ouzou https://support.example.org/ticket/24177
7486,2025-07-17 11:16:28,Djezzy,Tipaza..,DJEZZY PLEASE FIX THE NETWORK! #OUTAGE
9713,2025-02-15 02:32:28,TelecomDZ,Tipaza..,Signal ok but data speed low in Tipaza..
19139,2025-03-06 04:20:29,Ooredoo,Sidi Bel Abbes ,"  recharge failed, money gone!! contact@Ooredoo.com"
2404,2025-05-11 10:02:28,Mobilis,Mostaganemm,I see 'network busy' message often in Mostaganemm
22676,2025-08-18 14:22:29,TelecomDZ,Ghardaya,Coverage in Ghardaya is terrible... http://bit.ly/upy9yq
15942,2025-01-28 09:21:29,Djezzy,Ghardaia,Coverage in Ghardaia is terrible... http://bit.ly/q61bax
10977,2024-11-08 17:30:28,Wana,Mila,The app keeps crashing 😩 please fix @support
18070,2025-03-20 16:17:29,Ooredoo,Blidah,WHY  TF  MY  DATA  IS  GONE?  HTTPS://T.CO/XYZ
12186,2024-10-24 09:52:28,Mobilis,Constntine,Customer support didn't answer my call. #support
15020,2025-02-03 14:34:28,Wana,Sidi Bel Abbes,Signal lost when entering building near Sidi Bel Abbes
18722,2025-01-09 08:21:29,Mobilis,Biskra,Bills are wrong again!! charged twice http://example.com/issue/4714
8309,2025-06-10 09:32:28,TelecomDZ,Mascara,Signal ok but data speed low in Mascara
12989,2025-05-28 17:55:28,Wana,Ain Temouchent,"Service restored after 3 hours, thx Wana"
11260,2025-05-30 20:15:28,Wana,Sidi Bel Abbes,The app keeps crashing 😩 please fix @support
2753,2024-11-29 01:54:28,Mobilis,Oran,SMS failed to deliver multiple times https://t.co/xyz
16571,2025-02-24 13:08:29,Ooredoo,Sidi Bel Abbes ,Excellent service by Ooredoo! ❤️
20749,2024-10-31 08:24:29,Djezzy,Bejaiaa,BEST CUSTOMER CARE RESPONSE EVER 🙌
8852,2025-02-01 06:54:28,TelecomDZ,Tlemcen, recharge failed!!  -- #billing
7168,2025-10-07 16:31:28,Mobilis,Boumerdes!,I see 'network busy' message often in Boumerdes!
3338,2025-08-08 20:36:28,Ooredoo,Khenchela,App says update required but Play Store shows none https://t.co/xyz
5605,2025-04-06 04:22:28,Wana,Tlemcen,SMS failed to deliver multiple times https://support.example.org/ticket/93424
13485,2025-06-10 11:13:28,Djezzy,M'Sila,Signal lost when entering building near M'Sila
18377,2025-09-12 18:26:29,Djezzy,Relizane,"App freeze, re-opened 10 times https://support.example.org/ticket/6474 😑"
8120,2025-05-11 19:03:28,Djezzy,Ouargla,Lost connection mid-call with mom 😠 #sad
4349,2024-10-30 21:21:28,TelecomDZ,Sidi Bel Abbes,<div><html>Error 500</html> app crash</div>
15230,2025-06-13 11:50:28,Djezzy,El Oued,Djezzy please fix the network! #outage  
4311,2025-04-15 23:25:28,Mobilis,Blidah,Can't make calls since yesterday http://bit.ly/gfi7jf #help
15362,2024-11-07 04:48:28,Wana,Jijel,  Network is so slow today in Jijel 😡 https://support.example.org/ticket/67998 💯
14790,2025-04-14 23:50:28,Ooredoo,Soukahras,Test speed: 0.2 Mbps in Soukahras https://t.co/xyz
1240,2025-07-18 19:54:28,Ooredoo,Mascara,  Network is so slow today in Mascara 😡 http://example.com/issue/3553
12210,2025-04-30 09:48:28,Wana,Soukahras,"Working fine today, thumbs up Wana 👍"
15063,2025-06-15 22:58:28,TelecomDZ,Batna,<html>Error 500</html> app crash
6838,2025-01-18 23:47:28,Djezzy,Tlemcen,why does tethering fail? https://support.example.org/ticket/54163
5493,2024-12-29 12:37:28,Wana,Sidi Bel Abbes,My SIM not activated after 24h http://bit.ly/w2etsq
6228,2025-06-09 17:03:28,Mobilis,Illizi,"THEY RESTORED SERVICE AFTER OUTAGE, THANKS MOBILIS"
12444,2025-04-02 13:02:28,Djezzy,Biskra,internet so slooooow 😭 #Djezzy
2752,2024-11-13 12:10:28,Djezzy,Saida,  يوجد تقطع في المكالمات في Saida
3656,2024-11-13 09:41:28,Djezzy,Mostaganem,يوجد تقطع في المكالمات في Mostaganem
1337,2025-04-23 03:57:28,TelecomDZ,Boumerdes!,Coverage in Boumerdes! is terrible... http://bit.ly/30seko
15097,2025-09-03 20:35:28,Djezzy,Boumerdes!,Promo applied but billing still wrong https://support.example.org/ticket/95332
13321,2025-06-29 23:04:28,Mobilis,Blidah,why am i charged for sms I never sent?? http://example.com/issue/2735
9537,2025-07-17 12:42:28,Mobilis,El Oued,Coverage in El Oued is terrible... http://example.com/issue/3513
16776,2025-04-18 13:37:29,Mobilis,Oran,Test speed: 0.2 Mbps in Oran https://t.co/xyz  
19903,2024-11-04 12:09:29,Wana,Biskra,why tf my data is gone? http://bit.ly/lp9z7l
3268,2025-02-10 18:40:28,Mobilis,Biskra,مشكلة في الشبكة في Biskra 😠
16883,2024-11-18 03:06:29,Djezzy,Tindouf,The app keeps crashing 😩 please fix @support
398,2024-12-26 01:17:28,Ooredoo,Khenchella,Test speed: 0.2 Mbps in Khenchella http://bit.ly/74v9ho
8377,2025-08-06 03:13:28,Ooredoo,Souk Ahras,Signal ok but data speed low in Souk Ahras
10930,2025-07-12 05:25:28,Mobilis,Skikdaa,Can't make calls since yesterday http://example.com/issue/7476 #help
21836,2025-08-03 11:37:29,TelecomDZ,Batna,Promo applied but billing still wrong http://example.com/issue/3567
8179,2025-10-18 17:54:28,Ooredoo,Laghowat,Happy with Ooredoo overall 👍
5040,2025-05-01 03:24:28,Djezzy,Laghouat,"they restored service after outage, thanks Djezzy"
200,2025-09-13 00:51:28,Ooredoo,Oum El Bouaghi,Signal lost when entering building near Oum El Bouaghi
13599,2025-05-02 20:05:28,Mobilis,Annabba,  random spam message http://spam.example.com
15637,2025-03-05 02:12:28,Ooredoo,Guelma,why does tethering fail? http://example.com/issue/9717
22214,2025-01-13 03:24:29,Wana,Setif,Lost connection mid-call with mom 😠 #sad
21257,2025-09-04 03:18:29,TelecomDZ,Jijl,SMS subscription charged me without consent http://example.com/issue/1897
3620,2024-10-30 04:03:28,TelecomDZ,Relizane,My hotspot disconnects after 2 mins
7688,2025-06-24 03:14:28,Djezzy,Sidi Bel Abbes ,Best customer care response ever 🙌
10091,2025-08-25 00:32:28,Djezzy,M'Sila,مشكلة في الشبكة في M'Sila 😠
10515,2025-10-18 04:08:28,Djezzy,Ghardaya,I switched from Djezzy to Wana and it's better.
20931,2024-11-12 11:03:29,Mobilis,Tebessa,"The  team  fixed  it  fast,  impressed!"
22312,2025-07-21 01:27:29,TelecomDZ,Oum El Bouaghi,   recharge failed!!  -- #billing
293,2025-01-18 22:00:28,Mobilis,Biskraa,Why is 4G not working?? https://t.co/xyz
11824,2025-07-28 05:01:28,Djezzy,Khenchella,مافهمتش  علاش  الباكيج  خلصت؟  http://bit.ly/mlphwd
2165,2025-03-18 19:08:28,Mobilis,Blidah,Coverage in Blidah is terrible... http://bit.ly/n9xj8s
22296,2025-04-14 20:13:29,Mobilis,Oum El Bouaghi,No signal in Oum El Bouaghi. anyone else??
14791,2025-04-27 02:23:28,TelecomDZ,Setif,"SERVICE RESTORED AFTER 3 HOURS, THX TELECOMDZ"
11127,2025-06-05 23:24:28,Ooredoo,Ouargla,يوجد تقطع في المكالمات في Ouargla
613,2024-11-20 23:30:28,Ooredoo,Batnaa,SMS failed to deliver multiple times https://support.example.org/ticket/89349
12672,2025-01-09 07:29:28,TelecomDZ,,Happy with TelecomDZ overall 👍
7208,2025-09-01 23:09:28,Ooredoo,Bejaia,Signal lost when entering building near Bejaia
12842,2024-12-04 22:38:28,TelecomDZ,Constntine,Why is 4G not working?? https://t.co/xyz
247,2025-05-25 19:57:28,Mobilis,Tiziouzou,Streaming 144p only in Tiziouzou 😭 https://support.example.org/ticket/27985 contact@mobilis.com
16922,2025-08-05 22:21:29,TelecomDZ,Tebessa,Why is 4G not working?? http://bit.ly/34trs6
20383,2025-07-29 21:43:29,TelecomDZ,Batnaa,Signal ok but data speed low in Batnaa
